Entity,Code,Year,Annual CO2 emissions (per capita),Population (M)
Qatar,QAT,2022,37.601273,2.695
United Arab Emirates,ARE,2022,25.833244,9.441
Bahrain,BHR,2022,25.672274,1.472
Kuwait,KWT,2022,25.578102,4.269
Brunei,BRN,2022,23.950201,0.449
Trinidad and Tobago,TTO,2022,22.423758,1.531
Saudi Arabia,SAU,2022,18.197495,36.41
New Caledonia,NCL,2022,17.641167,0.269
Oman,OMN,2022,15.730261,4.576
Australia,AUS,2022,14.985412,26.01
United States,USA,2022,14.949616,333.3
Sint Maarten (Dutch part),SXM,2022,14.352394,0.043
Canada,CAN,2022,14.249212,38.93
Faroe Islands,FRO,2022,14.084624,0.053
Kazakhstan,KAZ,2022,13.979704,19.62